# Version 1.00
#
freq[Hz]	Trc3_S11[dB]	
1.514500000000000E+009	-4.351038481135991E+001	
1.549000000000000E+009	-4.183644188544383E+001	
1.583500000000000E+009	-4.103172952727888E+001	
1.618000000000000E+009	-4.736734300995773E+001	
1.652500000000000E+009	-3.783998768022076E+001	
1.687000000000000E+009	-4.525546108649544E+001	
1.721500000000000E+009	-3.717323210703070E+001	
1.756000000000000E+009	-3.988136869009534E+001	
1.790500000000000E+009	-3.902581957183592E+001	
1.825000000000000E+009	-4.658745072659880E+001	
1.859500000000000E+009	-4.827946388610005E+001	
1.894000000000000E+009	-4.004532802279778E+001	
1.928500000000000E+009	-4.447247618731011E+001	
1.963000000000000E+009	-3.499941857714313E+001	
1.997500000000000E+009	-3.807206341574727E+001	
2.032000000000000E+009	-4.505856224729985E+001	
2.066500000000000E+009	-3.891977074040635E+001	
2.101000000000000E+009	-4.455509635620156E+001	
2.135500000000000E+009	-6.205156518271556E+001	
2.170000000000000E+009	-3.906278914094429E+001	
2.204500000000000E+009	-3.917784140312637E+001	
2.239000000000000E+009	-3.902468047389583E+001	
2.273500000000000E+009	-3.952713117448360E+001	
2.308000000000000E+009	-3.485569837211789E+001	
2.342500000000000E+009	-3.466924088799835E+001	
2.377000000000000E+009	-4.523032629377353E+001	
2.411500000000000E+009	-4.240622138499873E+001	
2.446000000000000E+009	-4.170843279058616E+001	
2.480500000000000E+009	-3.674031148915645E+001	
2.515000000000000E+009	-3.894054579924959E+001	
2.549500000000000E+009	-3.366126054115197E+001	
2.584000000000000E+009	-3.753109476657514E+001	
2.618500000000000E+009	-3.207112599877420E+001	
2.653000000000000E+009	-3.980777360966198E+001	
2.687500000000000E+009	-3.427816277332355E+001	
2.722000000000000E+009	-4.806868294050825E+001	
2.756500000000000E+009	-3.802643804764260E+001	
2.791000000000000E+009	-4.066306031300439E+001	
2.825500000000000E+009	-4.143612836012308E+001	
2.860000000000000E+009	-3.484426020141571E+001	
2.894500000000000E+009	-4.092146981443388E+001	
2.929000000000000E+009	-3.812113695362198E+001	
2.963500000000000E+009	-3.795997354539570E+001	
2.998000000000000E+009	-3.602909921377302E+001	
3.032500000000000E+009	-3.561391346739071E+001	
3.067000000000000E+009	-3.296918767126210E+001	
3.101500000000000E+009	-3.721940661554368E+001	
3.136000000000000E+009	-2.859552187223034E+001	
3.170500000000000E+009	-3.626368707549392E+001	
3.205000000000000E+009	-4.042620784512240E+001	
3.239500000000000E+009	-3.385115618982774E+001	
3.274000000000000E+009	-3.575912637919118E+001	
3.308500000000000E+009	-4.150254431856044E+001	
3.343000000000000E+009	-3.941561014770969E+001	
3.377500000000000E+009	-3.778414938420107E+001	
3.412000000000000E+009	-3.847991848710367E+001	
3.446500000000000E+009	-2.866773407065196E+001	
3.481000000000000E+009	-3.258007797148250E+001	
3.515500000000000E+009	-3.353120460937764E+001	
3.550000000000000E+009	-3.440717908943449E+001	
3.584500000000000E+009	-4.454233146653922E+001	
3.619000000000000E+009	-3.393765558007956E+001	
3.653500000000000E+009	-3.331060186301461E+001	
3.688000000000000E+009	-4.355291372495641E+001	
3.722500000000000E+009	-3.101942915123648E+001	
3.757000000000000E+009	-3.495603047189317E+001	
3.791500000000000E+009	-3.053461201587803E+001	
3.826000000000000E+009	-3.774894287276073E+001	
3.860500000000000E+009	-3.291238979411742E+001	
3.895000000000000E+009	-3.968233228256749E+001	
3.929500000000000E+009	-3.536847655004466E+001	
3.964000000000000E+009	-3.443145150055592E+001	
3.998500000000000E+009	-3.934373200464825E+001	
4.033000000000000E+009	-2.864147995633354E+001	
4.067500000000000E+009	-4.490753566015385E+001	
4.102000000000000E+009	-3.540479088707997E+001	
4.136500000000000E+009	-4.612086743731098E+001	
4.171000000000000E+009	-4.325067004971299E+001	
4.205500000000000E+009	-3.408271600711377E+001	
4.240000000000000E+009	-2.810930677545828E+001	
4.274500000000000E+009	-3.508257023641311E+001	
4.309000000000000E+009	-2.852091348991542E+001	
4.343500000000000E+009	-3.235548752554708E+001	
4.378000000000000E+009	-3.118914129961526E+001	
4.412500000000000E+009	-3.792798363486353E+001	
4.447000000000000E+009	-3.034885977618972E+001	
4.481500000000000E+009	-3.359102929242402E+001	
4.516000000000000E+009	-3.027807592141971E+001	
4.550500000000000E+009	-3.127226251009442E+001	
4.585000000000000E+009	-2.690149093422958E+001	
4.619500000000000E+009	-3.160840206341576E+001	
4.654000000000000E+009	-3.853277585194940E+001	
4.688500000000000E+009	-3.622623435588758E+001	
4.723000000000000E+009	-3.171208775316093E+001	
4.757500000000000E+009	-3.400858262446757E+001	
4.792000000000000E+009	-3.912364700249409E+001	
4.826500000000000E+009	-3.085049178872742E+001	
4.861000000000000E+009	-4.475447280330406E+001	
4.895500000000000E+009	-3.460046431995730E+001	
4.930000000000000E+009	-3.277451085049428E+001	
4.964500000000000E+009	-3.855017867372335E+001	
4.999000000000000E+009	-3.325978632548197E+001	
5.033500000000000E+009	-3.165377146924037E+001	
5.068000000000000E+009	-3.382400461668725E+001	
5.102500000000000E+009	-2.437124464428725E+001	
5.137000000000000E+009	-4.611086412860658E+001	
5.171500000000000E+009	-3.135284696420097E+001	
5.206000000000000E+009	-3.313140640383023E+001	
5.240500000000000E+009	-3.794025668875755E+001	
5.275000000000000E+009	-3.042442571711002E+001	
5.309500000000000E+009	-3.456567003044243E+001	
5.344000000000000E+009	-3.202843659502952E+001	
5.378500000000000E+009	-2.602534278689828E+001	
5.413000000000000E+009	-2.703564041829510E+001	
5.447500000000000E+009	-3.277483647667916E+001	
5.482000000000000E+009	-3.310194680791524E+001	
5.516500000000000E+009	-3.569144304574987E+001	
5.551000000000000E+009	-2.991158559503317E+001	
5.585500000000000E+009	-3.317522243900368E+001	
5.620000000000000E+009	-2.472445248324523E+001	
5.654500000000000E+009	-2.679929316579539E+001	
5.689000000000000E+009	-2.822195173762869E+001	
5.723500000000000E+009	-3.662047493427504E+001	
5.758000000000000E+009	-3.378653511765924E+001	
5.792500000000000E+009	-3.800095112404271E+001	
5.827000000000000E+009	-3.228548870601020E+001	
5.861500000000000E+009	-2.876871673499833E+001	
5.896000000000000E+009	-2.966960736484573E+001	
5.930500000000000E+009	-3.156690611495501E+001	
5.965000000000000E+009	-2.972936822470490E+001	
5.999500000000000E+009	-3.139745277683904E+001	
6.034000000000000E+009	-4.036951961725377E+001	
6.068500000000000E+009	-4.488715735921973E+001	
6.103000000000000E+009	-3.154672006727806E+001	
6.137500000000000E+009	-2.658428521965081E+001	
6.172000000000000E+009	-2.582463145366075E+001	
6.206500000000000E+009	-2.658064986628762E+001	
6.241000000000000E+009	-3.670061507891028E+001	
6.275500000000000E+009	-2.623548388569520E+001	
6.310000000000000E+009	-3.203092352838500E+001	
6.344500000000000E+009	-4.322266345857728E+001	
6.379000000000000E+009	-3.670143297219843E+001	
6.413500000000000E+009	-2.547100134575080E+001	
6.448000000000000E+009	-1.974179964251134E+001	
6.482500000000000E+009	-2.864865468944416E+001	
6.517000000000000E+009	-4.353108014048230E+001	
6.551500000000000E+009	-2.577231490602292E+001	
6.586000000000000E+009	-2.831570069337223E+001	
6.620500000000000E+009	-3.349874008582903E+001	
6.655000000000000E+009	-3.079354123081220E+001	
6.689500000000000E+009	-3.349618059243129E+001	
6.724000000000000E+009	-2.914039584040295E+001	
6.758500000000000E+009	-2.551036246636872E+001	
6.793000000000000E+009	-2.542401720746866E+001	
6.827500000000000E+009	-2.939507174852063E+001	
6.862000000000000E+009	-3.360294508448698E+001	
6.896500000000000E+009	-3.130132055523602E+001	
6.931000000000000E+009	-2.703538499715054E+001	
6.965500000000000E+009	-3.620322492339447E+001	
7.000000000000000E+009	-2.616085363244690E+001	
