# Version 1.00
#
freq[Hz]	re:Trc3_S11	im:Trc3_S11	
1.790500000000000E+009	-5.021551158279181E-003	1.010648626834154E-002	
1.825000000000000E+009	-5.571465590037406E-005	-4.850145895034075E-003	
1.859500000000000E+009	1.811605761758983E-003	3.647671313956380E-003	
1.894000000000000E+009	-3.982963506132364E-003	-9.071498177945614E-003	
1.928500000000000E+009	-3.972379490733147E-003	-4.607677925378084E-003	
1.963000000000000E+009	1.269220653921366E-002	-1.239827740937471E-002	
1.997500000000000E+009	-7.978200912475586E-003	-9.738615714013577E-003	
2.032000000000000E+009	-5.321959499269724E-003	1.723991939797998E-003	
2.066500000000000E+009	-1.120804622769356E-002	-1.044411794282496E-003	
2.101000000000000E+009	-4.814621992409229E-003	-3.666603239253163E-003	
2.135500000000000E+009	6.549093523062766E-004	-2.768275735434145E-004	
2.170000000000000E+009	-1.109670102596283E-002	6.292187754297629E-005	
2.204500000000000E+009	-1.017781812697649E-002	4.081445746123791E-003	
2.239000000000000E+009	-1.886582700535655E-003	1.114571746438742E-002	
2.273500000000000E+009	-6.227619480341673E-003	8.445206098258495E-003	
2.308000000000000E+009	-1.678299903869629E-002	-6.431590300053358E-003	
2.342500000000000E+009	-1.737624406814575E-002	6.595933809876442E-003	
2.377000000000000E+009	2.430225256830454E-003	-4.817196633666754E-003	
2.411500000000000E+009	-3.046698402613401E-003	-6.950002163648605E-003	
2.446000000000000E+009	-6.135517731308937E-003	-5.161215551197529E-003	
2.480500000000000E+009	-1.426376309245825E-002	-3.094289219006896E-003	
2.515000000000000E+009	-1.018776278942823E-002	-4.804139025509358E-003	
2.549500000000000E+009	-1.819507777690888E-002	-9.612091816961765E-003	
2.584000000000000E+009	-1.105965208262205E-002	-7.479214575141668E-003	
2.618500000000000E+009	-2.172395214438438E-002	-1.221677940338850E-002	
2.653000000000000E+009	-8.287565782666206E-003	5.920767784118652E-003	
2.687500000000000E+009	-3.731116885319352E-003	1.904623769223690E-002	
2.722000000000000E+009	3.739321371540427E-003	8.835712214931846E-004	
2.756500000000000E+009	-1.038934011012316E-002	-7.141198497265577E-003	
2.791000000000000E+009	-7.267800625413656E-003	6.110162474215031E-003	
2.825500000000000E+009	-7.659187074750662E-003	-3.565425984561443E-003	
2.860000000000000E+009	-1.718345098197460E-002	5.220224615186453E-003	
2.894500000000000E+009	1.353549771010876E-003	8.881236426532269E-003	
2.929000000000000E+009	-1.227875519543886E-002	1.479979982832447E-004	
2.963500000000000E+009	-1.020114682614803E-002	7.649865001440048E-003	
2.998000000000000E+009	-1.543181203305721E-002	3.784160828217864E-003	
3.032500000000000E+009	-1.499066594988108E-002	7.105817086994648E-003	
3.067000000000000E+009	-2.166460454463959E-002	-5.895333364605904E-003	
3.101500000000000E+009	-8.897973224520683E-003	1.055918913334608E-002	
3.136000000000000E+009	-3.594539314508438E-002	9.240810759365559E-003	
3.170500000000000E+009	-3.633432788774371E-003	-1.486792415380478E-002	
3.205000000000000E+009	-9.429233148694038E-003	-4.556233470793814E-004	
3.239500000000000E+009	3.577823052182794E-003	1.983115635812283E-002	
