# Version 1.00
#
freq[Hz]	mag:Trc3_S11	ang:Trc3_S11	
4.792000000000000E+009	1.092437247527654E-002	-1.716347263360780E+002	
4.826500000000000E+009	2.862049491784598E-002	1.425308478537535E+002	
4.861000000000000E+009	5.833944527838562E-003	1.194679770178183E+002	
4.895500000000000E+009	1.861475012982808E-002	1.725681595036073E+002	
4.930000000000000E+009	2.291592535441996E-002	1.129856143997495E+002	
4.964500000000000E+009	1.202429287876980E-002	-1.668645054454912E+002	
4.999000000000000E+009	2.162460473819082E-002	-1.225599875519356E+002	
5.033500000000000E+009	2.596564744684266E-002	1.205490271869251E+002	
5.068000000000000E+009	2.021646042545990E-002	1.738809687916795E+002	
5.102500000000000E+009	6.034505104939143E-002	1.590526186532384E+002	
5.137000000000000E+009	4.863027318240120E-003	7.971800505431425E+001	
5.171500000000000E+009	2.715613807352466E-002	1.448419654775236E+002	
5.206000000000000E+009	2.188827243670731E-002	1.208170746601888E+002	
5.240500000000000E+009	1.260194567743147E-002	-1.746601297035598E+002	
5.275000000000000E+009	3.034126118596942E-002	1.487854064355101E+002	
5.309500000000000E+009	1.863402941278523E-002	1.567426585026838E+002	
5.344000000000000E+009	2.505902768544171E-002	1.492753944280439E+002	
5.378500000000000E+009	4.998292288809135E-002	1.068865155978076E+002	
5.413000000000000E+009	4.443215296746005E-002	9.484400294587550E+001	
5.447500000000000E+009	2.299687906345452E-002	8.724823956400097E+001	
5.482000000000000E+009	2.222869241722600E-002	5.662696857091009E+001	
5.516500000000000E+009	1.619954695436299E-002	-1.705653838698308E+002	
5.551000000000000E+009	3.187629968751991E-002	1.029672798904930E+002	
5.585500000000000E+009	2.201704932500293E-002	-1.755712853307344E+002	
5.620000000000000E+009	5.814330858655427E-002	1.243472553675957E+002	
5.654500000000000E+009	4.562965931166613E-002	7.854069051378835E+001	
5.689000000000000E+009	3.876086666013385E-002	9.674229626650912E+001	
5.723500000000000E+009	1.470471583219653E-002	6.204556963224677E+001	
5.758000000000000E+009	2.052657718535981E-002	1.565822657850746E+002	
5.792500000000000E+009	1.236437586152633E-002	1.007742991740316E+002	
5.827000000000000E+009	2.439001452264746E-002	-1.684707014560475E+002	
5.861500000000000E+009	3.634197395413726E-002	1.553767233034628E+002	
5.896000000000000E+009	3.294767841490880E-002	1.370736685919817E+002	
5.930500000000000E+009	2.639656070650315E-002	1.241384165840836E+002	
5.965000000000000E+009	3.255542033298087E-002	1.132628125938257E+002	
5.999500000000000E+009	2.713905573979393E-002	1.797511447579923E+001	
6.034000000000000E+009	9.571253210312802E-003	1.520727058178219E+002	
6.068500000000000E+009	5.755254633366479E-003	1.767849102401811E+002	
6.103000000000000E+009	2.638410339630404E-002	1.208360794232722E+002	
6.137500000000000E+009	4.684551643971307E-002	1.188831790007697E+002	
6.172000000000000E+009	5.107326255248326E-002	1.316766484158076E+002	
6.206500000000000E+009	4.677718779163589E-002	8.206738832282740E+001	
6.241000000000000E+009	1.434041627163528E-002	6.532963073821361E+001	
6.275500000000000E+009	4.855683231334451E-002	1.048713662693667E+002	
6.310000000000000E+009	2.496567460812036E-002	5.259005052350629E+001	
6.344500000000000E+009	7.073871535241009E-003	-5.246566337942563E+001	
