Spectrum,07.09.2018 14:50:55
[Global Parameters]
Frequency,1020000000,Hz
Reference Level,46.9897,dBmV
Input Type,RF,
RF & IF Optimization,KinderGentler,
RF Input,RF,
Input Bandwidth,40000000,Hz
RF Input Coupling,,
RF Input Termination,Undefined,
I Input,RF,
Input Bandwidth,40000000,Hz
I Input Coupling,,
I Input Termination,Undefined,
Q Input,,
Input Bandwidth,0,Hz
Q Input Coupling,,
Q Input Termination,FiftyOhms,
I+ Input,RF,
Input Bandwidth,40000000,Hz
I+ Input Coupling,,
I+ Input Termination,Undefined,
Q+ Input,,
Input Bandwidth,0,Hz
Q+ Input Coupling,,
Q+ Input Termination,FiftyOhms,
I- Input,,
Input Bandwidth,0,Hz
I- Input Coupling,,
I- Input Termination,FiftyOhms,
Q- Input,,
Input Bandwidth,0,Hz
Q- Input Coupling,,
Q- Input Termination,FiftyOhms,
External Bandwidth,40000000,Hz
External Sampling Frequency,56000000,SamplesPerSecond
,40000000,Hz
Valid Antenna data,false,
Azimuth,0,deg
Uncorrected azimuth,0,deg
Antenna elevation,0,deg
Antenna roll,0,deg
Antenna freq band,0,
Antenna amplifier,false,
Manual Azimuth,0,deg
Valid GNSS data,false,
GNSS Status,Off,
GNSS Freqency Reference Status,GRFS_OFF,
GNSS Freqency Reference Status,GFRQ_INVALID,
GNSS Longitude,0,deg
GNSS Latitude,0,deg
GNSS Altitude,0,Meter
GNSS Time,0001-01-01T01:00:00+01:00,
GNSS Speed,0,MeterPerHour
GNSS Course,0,deg
GNSS Satellites,0,
GNSS HDOP,0,

[Global Results]

[Markers]
[Marker M0]
Active,true
Enabled,true
Frequency,1,,GHz
Trace 1,-21,52,,dBmV
[Marker M1]
Active,false
Enabled,false
Frequency,4,,GHz
Trace 1,---,,
[Marker M2]
Active,false
Enabled,false
Frequency,3,02003125,,GHz
Trace 1,---,,
[Marker M3]
Active,false
Enabled,false
Frequency,1,5,,GHz
Trace 1,---,,
[Marker M4]
Active,false
Enabled,false
Frequency,1,622406639,,GHz
Trace 1,---,,

[Parameters]
Span,40000000,Hz
Resolution Bandwidth,107,Hz
RBW Window Type,Kaiser,

[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
,false,

Video Bandwidth Enable,true,
Video Bandwidth,107,Hz

[Trace Parameters]
Trace 1
Selected,true,
,false,
,false,
Function,None,
Detection,PositivePeak,


[Trace Parameters]
Spectrogram Trace
Selected,false,
,false,
,false,


[Results]
Marker Power ENBW,391.94762706756592,Hz,0,0.006
Noise Marker Offset,-25.932280394818676,dB,0,0.006
Actual RBW,371.5333143870036,Hz,0,0.006

[Traces]
[Trace]
Trace 1,,dBmV,0,0.006
NumberPoints,64001
XStart,1000000000,Hz
XStop,1040000000,Hz
-21.521770477294922
-25.02808952331543
-23.320650100708008
-19.074970245361328
-21.639270782470703
-22.729089736938477
-24.1004695892334
-32.802349090576172
-30.707210540771484
-22.944309234619141
-20.820259094238281
-15.626919746398926
-17.061000823974609
-16.746349334716797
-17.946920394897461
-23.23866081237793
-24.302040100097656
-25.943889617919922
-24.052490234375
-22.974750518798828
-21.952640533447266
-21.737119674682617
-21.370889663696289
-18.919130325317383
-19.380809783935547
-22.576450347900391
-24.977939605712891
-33.782470703125
-21.326480865478516
-20.339719772338867
-18.819210052490234
-18.160009384155273
-19.0289306640625
-16.963970184326172
-22.378240585327148
-20.111110687255859
-21.223060607910156
-22.110660552978516
-25.767330169677734
-21.936149597167969
-25.31488037109375
-21.78849983215332
-25.131200790405273
-24.495729446411133
-20.513980865478516
-19.655569076538086
-23.753530502319336
-21.183040618896484
-31.707469940185547
-30.591350555419922
